sample,fastq_1,fastq_2,experiment_accession,run_alias
842_Microacinar,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859264_SRR26146709_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859264_SRR26146709_2.fastq.gz,SRX21859264,WT13_842_TM_S3_L001_R1_001.fastq.gz
842_Microacinar,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859266_SRR26146707_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859266_SRR26146707_2.fastq.gz,SRX21859266,WT13_842_TM_S3_L002_R1_001.fastq.gz
842_Microacinar,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859267_SRR26146706_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859267_SRR26146706_2.fastq.gz,SRX21859267,WT13_842_TM_S3_L003_R1_001.fastq.gz
864_Microacinar,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859268_SRR26146705_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859268_SRR26146705_2.fastq.gz,SRX21859268,WT13_864_TM_S1_L001_R1_001.fastq.gz
864_Microacinar,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859269_SRR26146704_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859269_SRR26146704_2.fastq.gz,SRX21859269,WT13_864_TM_S1_L005_R1_001.fastq.gz
864_Microacinar,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859270_SRR26146703_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859270_SRR26146703_2.fastq.gz,SRX21859270,WT13_864_TM_S4_L004_R1_001.fastq.gz
864_Microacinar,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859272_SRR26146701_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859272_SRR26146701_2.fastq.gz,SRX21859272,WT13_864_TM_S4_L005_R1_001.fastq.gz
1576_Microacinar,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859273_SRR26146700_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859273_SRR26146700_2.fastq.gz,SRX21859273,WT13_1576_TM_S5_L002_R1_001.fastq.gz
1576_Microacinar,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859274_SRR26146699_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859274_SRR26146699_2.fastq.gz,SRX21859274,WT13_1576_TM_S5_L003_R1_001.fastq.gz
1576_Microacinar,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859275_SRR26146698_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859275_SRR26146698_2.fastq.gz,SRX21859275,WT13_1576_TM_S5_L006_R1_001.fastq.gz
